numeric,numeric,numeric,bool
ID,x3,x4,locallyPresent
1,0,0,FALSE
2,1,0,FALSE
3,1,0,FALSE
4,1,0,FALSE
5,1,0,FALSE
6,1,0,FALSE
7,1,0,FALSE
8,1,0,FALSE
9,1,0,FALSE
10,1,1,FALSE
1,1,1,FALSE
2,1,1,FALSE
3,2,1,FALSE
4,1,1,FALSE
5,2,1,FALSE
6,2,1,FALSE
7,1,1,FALSE
8,2,1,FALSE
9,3,1,TRUE
10,2,1,TRUE
1,0,2,TRUE
2,1,2,TRUE
3,1,2,TRUE
4,1,2,TRUE
5,1,2,TRUE
6,1,2,TRUE
7,1,3,TRUE
8,1,13,TRUE
9,1,14,TRUE
10,1,15,TRUE
1,1,16,TRUE
2,1,17,TRUE
3,2,8,TRUE
4,1,1,TRUE
5,2,0,TRUE
6,2,1,TRUE
7,1,1,TRUE
8,2,0,TRUE
9,3,1,TRUE
10,2,0,TRUE
